Time_ms,UE_ID,Mean_SNR_dB,Std_SNR_dB,Mean_UL_SE_bit_per_s_Hz,Std_UL_SE_bit_per_s_Hz
14500,15599,52.5,0.0,17.179,0.0
14500,20945,58.035714285714285,5.572632484224381,18.990142857142853,1.823301172056104
14500,22873,60.607142857142854,11.001983948072766,19.843999999999998,3.5346479420267682
14500,30556,52.25,19.349370742950484,17.134392857142856,6.240043698441991
14500,33952,20.821428571428573,25.093607820302633,7.024392857142857,8.08658291309237
14500,36997,63.5,0.0,20.778,0.0
14500,40252,56.0,0.0,18.324,0.0
14500,45898,63.5,0.0,20.778,0.0
14500,48787,63.5,0.0,20.778,0.0
14600,12169,62.75,2.836599424715499,20.532571428571426,0.9282371754935549
14600,15599,52.5,0.0,17.179,0.0
14600,20945,58.42857142857143,5.5556349200680355,19.11867857142857,1.8177430868783897
14600,22873,60.392857142857146,11.001983948072764,19.773892857142858,3.5349039416912196
14600,30556,52.25,19.349370742950484,17.134392857142856,6.240043698441991
14600,33952,20.857142857142858,25.073173336536822,7.034142857142856,8.080980916412843
14600,36997,63.5,0.0,20.778,0.0
14600,40252,56.0,0.0,18.324,0.0
14600,45898,63.5,0.0,20.778,0.0
14600,48787,63.5,0.0,20.778,0.0
14700,12169,63.5,0.0,20.778,0.0
14700,15599,52.5,0.0,17.179,0.0
14700,20945,58.375,5.60691537300145,19.10117857142857,1.8344979947814457
14700,22873,60.535714285714285,11.01592161829999,19.820642857142854,3.5393754127203443
14700,30556,50.5,21.260291625469296,16.574392857142858,6.849135394687559
14700,33952,20.839285714285715,25.083583819874647,7.0293214285714285,8.083795822066335
14700,36997,63.5,0.0,20.778,0.0
14700,40252,56.0,0.0,18.324,0.0
14700,45898,63.5,0.0,20.778,0.0
14700,48787,63.5,0.0,20.778,0.0
14800,12169,63.2037037037037,1.5396007178390017,20.681037037037033,0.5038343349128119
14800,15599,52.5,0.0,17.179,0.0
14800,20945,57.77777777777778,5.619905100029121,18.905777777777775,1.8387469465191046
14800,22873,62.425925925925924,2.348091302213941,20.426555555555552,0.7683017903308837
14800,30556,52.833333333333336,20.122700537529177,17.33111111111111,6.480361031807109
14800,33952,23.462962962962962,26.475288160676993,7.875296296296296,8.5320831202216
14800,36997,63.5,0.0,20.778,0.0
14800,40252,56.0,0.0,18.324,0.0
14800,45898,63.5,0.0,20.778,0.0
14800,48787,63.5,0.0,20.778,0.0
14900,12169,63.19230769230769,1.568929081105472,20.677307692307693,0.5134320417917642
14900,15599,52.5,0.0,17.179,0.0
14900,20945,58.82692307692308,5.565864367180193,19.24903846153846,1.8210696962119648
14900,22873,60.15384615384615,11.397165639551993,19.696653846153843,3.6617381877169497
14900,30556,55.25,15.156681694882952,18.101,4.883938664643527
14900,33952,19.807692307692307,24.40740745063962,6.693730769230769,7.867554972455888
14900,36997,63.5,0.0,20.778,0.0
14900,40252,56.0,0.0,18.324,0.0
