Time_ms,UE_ID,SNR_total_linear,Mean_UL_SE_bit_per_s_Hz
65700,UE0,1074254644.2240326,28.500654426046186
65800,UE0,1131955592.7232938,28.572361705935883
65900,UE0,1074110380.658428,28.50047035870943
66000,UE0,1133905786.7306533,28.57472094921873
66100,UE0,1098303522.485866,28.53099817871378
66200,UE0,1142572144.1537175,28.585156211991812
66300,UE0,1092381687.3048854,28.523588394905868
66400,UE0,1147843914.6655786,28.591465364462515
66500,UE0,1091587359.0701613,28.52259142584751
66600,UE0,1145605193.5270104,28.58878965367284
66700,UE0,1091587359.0701613,28.52259142584751
66800,UE0,1146905322.8652499,28.59034419906584
66900,UE0,1109064337.4818945,28.544361119071155
67000,UE0,1150299909.7764533,28.594394763929415
67100,UE0,1115780500.8975992,28.552635794827687
67200,UE0,1157016073.1921582,28.60237367356143
67300,UE0,1109064337.4818945,28.544361119071155
67400,UE0,1165176629.5117073,28.61200644903661
67500,UE0,1100903781.1623454,28.53423917644443
67600,UE0,1176921088.7410567,28.625751925336182
67700,UE0,1122108926.0494833,28.560387304988957
67800,UE0,1158794045.6602035,28.60447818024461
67900,UE0,1091776675.068758,28.52282910402309
68000,UE0,1133300774.494526,28.573989471303808
68100,UE0,1093877970.425435,28.525464426910542
68200,UE0,1150317004.2357364,28.594415131498558
68300,UE0,1093410383.971199,28.524878445246383
68400,UE0,1145045233.7238753,28.58811957440189
68500,UE0,1109731496.6102972,28.545185333557598
68600,UE0,1153711591.1469398,28.59845370062846
68700,UE0,1104315462.5328314,28.538479950911018
68800,UE0,1171694370.662188,28.619651698045928
68900,UE0,1129808733.6985092,28.56975984280468
69000,UE0,1186285982.1580899,28.63661446748151
69100,UE0,1139964536.45841,28.582024709100246
69200,UE0,1188867133.5099292,28.639593328009397
69300,UE0,1141219613.3636572,28.58353283700651
69400,UE0,1202501045.8808625,28.655221453773944
69500,UE0,1153614137.2621264,28.598337924669444
69600,UE0,1211965150.4305077,28.665966016945937
69700,UE0,1159247445.311898,28.605014332481222
69800,UE0,1215359737.341711,28.669799446142168
69900,UE0,1158741644.2083828,28.604416201178477
70000,UE0,1211965150.4305077,28.665966016945937
70100,UE0,1150581087.8888338,28.594729741320158
70200,UE0,1193693843.7840502,28.645146433709407
70300,UE0,1128409393.2276576,28.568061263999706
70400,UE0,1169644965.5222163,28.617252358512232
70500,UE0,1134331228.4086385,28.57523508726647
70600,UE0,1174916736.0340774,28.62341580601805
70700,UE0,1130648114.366226,28.57077770949233
