Time_ms,UE_ID,Mean_SNR_dB,Mean_UL_SE_bit_per_s_Hz
75300,2,903368164.3354534,28.263201891581936
75400,2,959336192.7996619,28.345588184701285
75500,2,910084327.7511584,28.273353741698124
75600,2,966052356.2153668,28.355149833128372
75700,2,913117377.1244509,28.277913830518024
75800,2,941730472.5579801,28.32020202512889
75900,2,898701416.766306,28.256103305318213
76000,2,949300752.0152441,28.33117548731241
76100,2,888060953.0391747,28.23977928857351
76200,2,955941180.3140075,28.34072928099689
76300,2,903774376.182089,28.26381804423413
76400,2,978808039.5274792,28.373128176156513
76500,2,916773912.3166854,28.283391214472847
76600,2,981696825.3351673,28.377167194924926
76700,2,920837510.5044571,28.289452795620004
76800,2,990694085.0623765,28.389671179145015
76900,2,936964777.7367363,28.313248597133608
77000,2,988455363.9238082,28.386570550642777
77100,2,933641173.0404408,28.308378297860614
77200,2,1001956644.778332,28.40516429213784
77300,2,930317568.3441453,28.303490630194847
77400,2,981808154.531217,28.37732261431695
77500,2,945097365.3759898,28.32509333995189
77600,2,993893011.1621925,28.394089554010353
77700,2,932556289.4827135,28.30678479179493
77800,2,993001760.2240587,28.39285998388768
77900,2,939272452.8984185,28.316620035964487
78000,2,992309457.675554,28.391904121240252
78100,2,928009893.182463,28.300086698838303
78200,2,990694085.0623765,28.389671179145015
78300,2,932487335.4595997,28.306683447628487
78400,2,995171527.3395131,28.39585147144131
78500,2,928009893.1824632,28.300086698838303
78600,2,998757718.6785161,28.40078153276832
78700,2,941484595.1868091,28.319844137420596
78800,2,998375693.7156903,28.400257192986103
78900,2,956595932.8844748,28.341667697198098
79000,2,1026736281.6715693,28.438647600499127
79100,2,963428741.2662652,28.35142258782956
79200,2,1022327793.4175465,28.43275016827635
79300,2,959643601.537633,28.346027295329872
79400,2,1033521399.1103883,28.447675059748875
79500,2,961882322.6762013,28.349220906862005
79600,2,1026574468.178515,28.43843158336871
79700,2,964052089.7916559,28.352309067995943
79800,2,1015542675.9787277,28.42362353632312
79900,2,987094393.3355948,28.384682172454546
80000,2,1035595633.352551,28.45042296041088
80100,2,968433999.1955009,28.358524565576065
80200,2,1026640748.7982776,28.438520070522475
80300,2,979627604.8883425,28.374275279259276
80400,2,1022163306.5211409,28.432529634952907
80500,2,975150162.6112058,28.3679966982275
80600,2,1041441733.4165902,28.458138232048807
80700,2,983497357.6692952,28.379678640180842
80800,2,1005263382.3718257,28.40968007741846
80900,2,940990534.0224637,28.319124722203433
81000,2,1006036523.020082,28.41073376008258
81100,2,922244061.5062568,28.291544687100803
81200,2,984084343.3102317,28.38049639451576
81300,2,958756039.565406,28.344759095260933
81400,2,1017035799.5748844,28.425637152326566
81500,2,979627604.8883425,28.374275279259276
81600,2,1033356912.2139825,28.44745691511281
81700,2,966195278.0569324,28.35535258457403
81800,2,1035595633.352551,28.45042296041088
81900,2,968433999.1955007,28.358524565576065
82000,2,1037834354.4911193,28.453382600714807
82100,2,968869030.8713337,28.35914009875744
82200,2,1013166046.7939317,28.42041231626739
82300,2,961675460.6068599,28.34892612295609
82400,2,1019882210.2096367,28.4294676255204
82500,2,957198018.3297231,28.34253006216439
82600,2,1014948548.6701992,28.422821476892242
82700,2,945962037.4639456,28.32634669593445
82800,2,1001930065.928154,28.405127934876376
82900,2,950439479.7410823,28.332818548990026
83000,2,995213902.512449,28.39590982971538
83100,2,927988705.5959951,28.300055406934717
83200,2,965983402.192253,28.355052003007614
83300,2,907776652.5894761,28.269874037071833
83400,2,957028517.6379796,28.34228734176214
83500,2,910015373.7280445,28.273249895028954
83600,2,961505959.9151163,28.348684532729692
83700,2,912254094.8666128,28.276617458260947
83800,2,954789796.4994113,28.339077514063707
83900,2,912254094.8666129,28.27661745826095
84000,2,968222123.3308214,28.35822467893767
84100,2,901060489.1737711,28.259696283697874
84200,2,965983402.192253,28.355052003007614
84300,2,903299210.3123395,28.263097272826872
84400,2,965983402.192253,28.355052003007614
84500,2,894323138.1715982,28.24940991489166
84600,2,956551110.7892108,28.341603476955353
84700,2,907776652.5894762,28.269874037071833
84800,2,963352100.0444621,28.3513135547597
84900,2,912323048.8897266,28.276721050094377
85000,2,959336192.7996619,28.345588184701285
85100,2,917744748.8180041,28.28484182940157
85200,2,986312175.6585317,28.383595648717044
85300,2,916911820.3629131,28.283597368982807
85400,2,981834733.3813949,28.377359716701264
85500,2,925866704.9171865,28.296917803954663
85600,2,965686278.5626478,28.354630372068886
85700,2,913214299.8278605,28.278059300708392
85800,2,970529798.4925035,28.361487406253083
85900,2,907222258.0871992,28.26903675710709
86000,2,966121310.2384807,28.35524765626655
86100,2,908076374.1287582,28.270326481665844
86200,2,954858750.5225251,28.33917649106754
86300,2,916800491.1668633,28.283430948793384
86400,2,966052356.2153668,28.355149833128372
86500,2,907845606.6125901,28.269978139833626
86600,2,968291077.3539351,28.358322282863888
86700,2,905606885.4740217,28.266594203547417
86800,2,975007240.7696402,28.36779580880158
86900,2,903529977.8285077,28.263447367674864
87000,2,958761437.6730326,28.34476681193839
87100,2,901438732.3401111,28.260271490681777
87200,2,974011434.8853676,28.366395296703068
87300,2,915804685.2825909,28.28194147124442
87400,2,992006029.8334605,28.39148496797925
87500,2,931587062.4486189,28.305359596462498
87600,2,992032533.189964,28.391521584654537
87700,2,943792270.3484912,28.323199410664788
87800,2,1014561283.4310122,28.42229842412787
87900,2,955442095.3036337,28.34001354164777
88000,2,997521577.6741312,28.39908416908784
88100,2,952747154.9027644,28.33614224770174
88200,2,1014969811.7503414,28.42285018970533
88300,2,939702093.3105414,28.317246811987786
88400,2,1010927325.6553633,28.417380535638866
88500,2,958959332.6195227,28.3450496758046
88600,2,1013123671.6209958,28.420354992056858
88700,2,941484595.186809,28.319844137420596
88800,2,1008646229.3438591,28.414284454945747
88900,2,939245874.0482407,28.316581252295446
89000,2,997452623.6510174,28.39898942536061
89100,2,952678200.8796506,28.33604305132494
89200,2,997452623.6510174,28.39898942536061
89300,2,946853288.4020793,28.327637379938842
89400,2,999648969.6166499,28.402004019892807
89500,2,928009893.1824629,28.300086698838303
89600,2,988455363.9238082,28.386570550642777
89700,2,934726056.5981679,28.309969953359783
89800,2,988455363.9238081,28.386570550642777
89900,2,920932192.2288473,28.28959371118758
90000,2,469987199.27227086,27.367643914483196
0,3,357710526.051524,26.993506468328327
100,3,618426668.8932137,27.743825931669257
200,3,663824014.312149,27.840914303057076
300,3,615101567.287672,27.73643694272843
400,3,661866276.3370116,27.836866298949154
500,3,611053547.8039898,27.72738739453989
600,3,658240091.9698879,27.82933672874873
700,3,617792291.5518821,27.74241929984285
800,3,659146967.023534,27.83122368690796
900,3,614320437.3460853,27.73469533436833
1000,3,650284802.2013891,27.81267164486644
1100,3,611406969.8946424,27.728179872150967
1200,3,641468507.1209283,27.793963039361
1300,3,594719401.672102,27.69025220821964
1400,3,647409908.7847223,27.80659899748916
1500,3,610365783.3950661,27.72584390712168
1600,3,643464869.3854747,27.798221839216747
1700,3,575653721.796675,27.6455946969189
1800,3,637829876.6280023,27.78616661600477
1900,3,571557724.657825,27.635807774231026
2000,3,609736124.0391362,27.72442929383622
2100,3,571333367.0947255,27.635269672968157
2200,3,624787913.9737189,27.757851741998987
2300,3,570835239.6615708,27.63407420372357
2400,3,617478285.4917505,27.741722506358016
2500,3,582769849.2858949,27.662433450301247
2600,3,641296830.5501916,27.793596186462025
2700,3,604410256.4137235,27.712405258523315
2800,3,644509350.365417,27.80044474778618
2900,3,603388714.9240679,27.710086851960817
3000,3,662168927.0052044,27.837492869893445
3100,3,602425482.5036035,27.707897180640227
3200,3,663953316.2542641,27.841181239543104
3300,3,617910693.534847,27.742681947191222
3400,3,671421763.8363825,27.856511860188157
3500,3,619811814.493325,27.746892265607435
3600,3,670525303.7035222,27.854680710705008
3700,3,618213426.2025903,27.743353260651652
3800,3,666615891.0986738,27.84666644721673
3900,3,628823296.8956153,27.766675458043554
4000,3,671525442.5945721,27.85672348129755
4100,3,645991259.0295486,27.803592434879953
4200,3,697191039.3291157,27.908129849041973
4300,3,650994218.2297522,27.81416601696698
4400,3,699970171.0568032,27.913582294433727
4500,3,655493808.3222781,27.823606568652362
4600,3,718530796.7222438,27.949451016311812
4700,3,687673368.0261757,27.889290823898357
4800,3,724599654.9418368,27.96097843586921
4900,3,691436171.4507854,27.896769797236765
5000,3,751791969.5695255,28.01147035271737
5100,3,678005987.991499,27.86988663738272
5200,3,717139350.9191988,27.946794332310496
5300,3,661263491.4664321,27.835617512802337
5400,3,717825342.7935077,27.948104738477046
5500,3,668759105.9257517,27.85106582215895
5600,3,719829007.1898309,27.951925051235854
5700,3,640817263.3969591,27.792570886562764
5800,3,685852248.4865046,27.885656445986143
5900,3,636803365.9513856,27.78395908677299
6000,3,668621891.5918024,27.850784585147363
6100,3,614368363.0042702,27.73480225322985
6200,3,655492501.144091,27.823603835494136
6300,3,606120279.7273688,27.716277431148104
6400,3,666606519.5939448,27.84664717929548
6500,3,610060873.1257071,27.72515906807359
6600,3,661951745.9946092,27.837043273905856
6700,3,608332107.8150676,27.721269717582054
6800,3,658957008.2708901,27.830828649901505
6900,3,611705850.7650194,27.7288496946769
7000,3,646564336.7807722,27.804807760025025
7100,3,600823865.572501,27.704248537306274
7200,3,642889151.5206194,27.7969950290513
7300,3,602627952.5084474,27.708357736732445
7400,3,657243081.6745167,27.827259221403377
7500,3,597262498.3110571,27.69610040532177
7600,3,651397620.6253219,27.815015050727986
7700,3,583632020.3385673,27.664459608953667
7800,3,614408646.1905084,27.734892115808467
7900,3,574632191.7653024,27.64316039976898
8000,3,624059505.0681319,27.756252942311487
8100,3,575183193.1875927,27.644473968425068
8200,3,623493029.2476184,27.755008282395465
8300,3,590909796.8908453,27.68144454559492
8400,3,624691239.4399407,27.757639656384548
8500,3,584268073.9013002,27.66595245897338
8600,3,629606358.0085162,27.768381127641707
8700,3,577594542.1037775,27.650207777780302
8800,3,628454540.1935718,27.765871493651844
8900,3,572671401.1324666,27.638475703574326
9000,3,617416423.6350415,27.74158519035284
9100,3,568986547.2994235,27.629628339318888
9200,3,620917011.0728688,27.749333957797162
9300,3,570300554.2055001,27.632789836500322
9400,3,624332136.4799159,27.75685156501832
9500,3,591113136.6219654,27.681916092051416
9600,3,640643056.3609397,27.792198247249594
9700,3,597921418.4217205,27.697611620147434
9800,3,645486520.3236655,27.80252114295107
9900,3,599990459.6402109,27.70234610620965
10000,3,646449437.4268101,27.80456417949237
10100,3,575843008.6041582,27.646045291308923
10200,3,626999935.7064328,27.762695553666386
10300,3,576259485.8129709,27.647036187779065
10400,3,652709311.7334859,27.817772113516256
10500,3,608479083.8186872,27.72160081163511
