Time (ms),Throughput (Mbps),UE,Scenario,Num_UEs,Repetition
830,1.67502,13,cb,10,1
830,1.6152,14,cb,10,1
830,1.37591,16,cb,10,1
830,0.89733,17,cb,10,1
830,0.83751,19,cb,10,1
830,1.55538,21,cb,10,1
840,1.59757,6,cb,10,1
840,2.22519,3,cb,10,1
840,2.22519,8,cb,10,1
840,0.62762,10,cb,10,1
840,2.79575,13,cb,10,1
840,1.19818,14,cb,10,1
840,0.85584,16,cb,10,1
840,1.59757,17,cb,10,1
840,0.96995,19,cb,10,1
840,1.65463,21,cb,10,1
850,1.65432,6,cb,10,1
850,1.65432,3,cb,10,1
850,1.65432,8,cb,10,1
850,1.36909,10,cb,10,1
850,1.36909,13,cb,10,1
850,0.85568,14,cb,10,1
850,0.79864,16,cb,10,1
850,1.31205,17,cb,10,1
850,1.08386,19,cb,10,1
850,1.65432,21,cb,10,1
860,1.14382,6,cb,10,1
860,1.08663,3,cb,10,1
860,0.85786,8,cb,10,1
860,0.91505,10,cb,10,1
