Time_ms,Mean_Latency_us,Std_Latency_us
59000,71870257.28571428,7949.417855297644
59100,71868121.0,
59200,71937779.6,163334.13659979202
59300,71863396.0,3273.9047023393946
59400,71872719.0,0.0
59600,71861919.0,3398.283684450137
59700,71857671.5,5783.426363324772
59800,71871219.0,0.0
59900,71870432.33333333,13743.245807790927
60000,71871409.6,9250.650506856704
60100,71871482.5,7021.156623615039
60200,71864009.0,6632.661607529816
60300,71865497.0,11346.601341368849
60400,71864933.0,3105.612982971317
60500,71873748.0,0.0
60600,71857664.0,
60700,71861152.33333333,6711.119529061285
60800,71861824.0,
60900,71866104.0,9808.603723262551
61000,71876132.25,4363.520625595805
61100,71867644.8,7924.326861003697
61200,71876538.0,0.0
61300,71863598.5,6552.7585412557355
61400,71864698.2,9274.004323914856
61500,71870885.0,3249.3273149992137
61700,71860608.25,5088.089253346325
61800,71861984.0,
61900,71871255.0,0.0
62000,71870941.66666667,14056.169653689552
62100,71871497.6,8606.728577109485
62200,71871546.5,7065.0352440734505
62300,71858668.0,
62400,71866470.4,9810.26958345252
62500,71865755.5,1711.9055172526316
62600,71872856.0,0.0
62700,71858993.0,
62800,71860461.33333333,6198.432490020898
62900,71862040.0,
63000,71870613.0,9260.960074418448
63100,71874857.5,7005.306881215126
63200,71867888.4,8249.248559715417
63300,71876964.0,0.0
63400,71870161.5,7948.096983974633
63500,71856452.5,6788.932206172043
63600,71868700.75,4592.182297123934
63700,71857542.0,
63800,71860902.33333333,6660.890055641788
64000,71861748.0,
64100,71871900.5,9158.031180334752
64200,71869454.25,9333.33660862873
64300,71871366.0,6726.130636059141
64400,71859052.0,
64500,71865888.4,9400.401071228669
64600,71866726.0,
64700,71869797.66666667,5511.963019952282
64800,71855388.5,2956.413452140955
64900,71864672.0,0.0
65000,71861780.0,
65100,71865946.33333333,9468.544414710937
65200,71879232.66666667,1381.5991941718498
65300,71868339.0,7314.735183177004
65400,71876810.0,0.0
65500,71869288.66666667,8686.812150226035
65600,71869050.33333333,17203.796828994808
65700,71868741.25,4402.758027643786
65800,71857488.0,
65900,71860856.66666667,5581.245052255037
66100,71862380.0,
66200,71876943.66666667,4584.136414489998
66300,71871858.5,7309.831758209852
66400,71862931.5,9842.219287335554
66500,71871231.33333333,9764.725102805216
66600,71869179.0,6268.4366472031925
66700,71859461.0,10373.256480006652
66800,71869970.0,6164.368824137634
66900,71860200.25,4797.114992367809
67200,71867921.4,9330.304941427414
67300,71878710.0,0.0
67400,71870542.8,5268.017767624761
67500,71859498.0,
67600,71873001.8,8271.206725743097
67700,71860355.66666667,8409.320800950678
67800,71869039.0,4915.394185617263
67900,71855982.5,3684.7334367630992
68000,71864550.0,0.0
68200,71868180.33333333,5493.487811340365
68300,71872591.0,11611.269181272579
68400,71865759.0,0.0
68500,71869222.5,9243.521605246924
68600,71874134.0,8442.658437956614
68700,71861322.0,
68800,71862724.0,9432.882274257428
68900,71871272.0,7326.574916016351
69000,71860438.75,4693.191691164718
69300,71868459.0,9623.650814529796
69400,71877887.0,0.0
69500,71871697.5,7426.456512586156
69600,71863175.0,9449.775023777021
69700,71872462.4,7095.681912262957
69800,71860347.0,8445.03996438146
69900,71866921.0,
70000,71865855.0,9295.98397158687
70100,71862786.66666667,4427.699214414165
70300,71870978.0,0.0
70400,71870742.2,11647.282545726852
70500,71870473.0,5633.783926752368
70600,71870468.0,
70700,71871942.0,8271.424393656673
70800,71856063.0,5818.074595602913
70900,71865368.66666667,4394.705943896638
71000,71864047.0,
71100,71865623.4,8054.998715081722
71200,71857579.0,
71400,71870990.42857143,9361.48846528832
71600,71870914.0,5549.490787450683
71700,71868630.75,8296.81578980917
71800,71870967.33333333,9898.093014988019
71900,71863185.66666667,7780.04873592152
72000,71860643.0,
72100,71871808.0,7446.086421738603
72200,71859945.5,5281.727274294039
72400,71871612.0,0.0
72500,71870620.8,11165.2409602321
72600,71870996.5,5842.207373929823
72700,71869643.0,
72800,71872560.6,8536.970528236996
72900,71856025.0,4343.049850047775
73000,71867958.0,673.1656556895932
73100,71862108.0,2388.6067068481575
73200,71865529.2,7837.614445734963
73300,71857876.0,
73500,71869982.83333333,9551.314556996573
73600,71870407.0,5923.61376188556
73800,71875723.6,3702.1513070105193
73900,71857715.0,1790.3943699643382
74000,71862921.66666667,9276.516875061912
74100,71860525.0,
74200,71865732.0,9565.172450092052
74300,71862268.33333333,3570.9114149389106
74500,71871273.0,0.0
74600,71869410.5,11505.77076948577
74700,71871070.0,5951.326574806662
74800,71870543.0,
74900,71872240.2,8669.982162612343
75000,71860191.0,7171.3982597538115
75100,71870362.0,
75200,71860295.0,
75300,71865448.66666667,7429.269268685969
75400,71857656.0,
75600,71871040.6,9031.84326701774
75700,71869270.2,5943.017432248235
75900,71874407.6,2722.684759572489
76000,71856095.0,3771.0278439703943
76100,71867796.0,895.1971849821691
76200,71860495.0,
76300,71859042.0,5470.178059259131
76400,71869298.5,5746.367229244345
76500,71857885.0,
76600,71871514.0,0.0
76700,71871477.66666667,12133.5932572881
76800,71869321.6,5930.086196676388
76900,71877306.0,5572.007447949079
77000,71868321.33333333,10448.885171794924
77100,71859575.33333333,7682.027423367
77200,71864843.0,5993.437077337177
77400,71866008.66666667,7993.145555205024
77500,71858540.0,
77700,71870863.6,9344.06433517953
77800,71870917.0,5742.325777360018
77900,71866183.0,
78000,71874691.8,3319.144874814949
78100,71856351.33333333,3635.6426300373314
78200,71867539.0,
78300,71864530.0,5738.87863611002
78400,71858911.0,6233.853382940603
78500,71868677.5,4685.197434473813
78600,71858002.0,
78700,71874978.5,4215.2343153534575
78800,71862133.33333333,5936.892818077997
78900,71872697.66666667,8712.792912339568
79000,71870046.0,
