Container_ID,Name,CPU_Usage_Percent,Mem_Usage,Mem_Limit,Mem_Usage_Percent,Net_RX,Net_TX,Block_Read,Block_Write,PIDs
116606adf744,rfsim5g-oai-cuup2,16.38%,6.375MiB,23.44GiB,0.03%,63.8MB,64MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,161.12%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,12.30%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,28.40%,8.648MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.66%,6.375MiB,23.44GiB,0.03%,64.2MB,64.4MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,163.50%,1.084GiB,23.44GiB,4.62%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,12.93%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.50%,8.625MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.66%,6.375MiB,23.44GiB,0.03%,64.2MB,64.4MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,163.50%,1.084GiB,23.44GiB,4.62%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,12.93%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.50%,8.625MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.62%,6.375MiB,23.44GiB,0.03%,64.6MB,64.8MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,171.30%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.62%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.35%,8.832MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.62%,6.375MiB,23.44GiB,0.03%,64.6MB,64.8MB,0B,0B,10
