[UE 3 | RBs:  1 ] Total Throughput = 1.53124 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.54604 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.31049 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.85653 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.59309 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.59309 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.54655 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.30862 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.07036 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.42850 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.53838 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.54703 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.35701 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 2.07296 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.65446 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.76354 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.11044 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.87754 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.19757 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.31742 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.83836 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.79192 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.31407 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.98018 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.52622 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.52622 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.87323 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.10915 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.30567 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.83624 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.30678 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.30678 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.06653 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.32798 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.09257 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.54538 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.63615 Mbps
