Time_ms,UE_ID,RB_ID,Throughput_Mbps,Repetition,Scenario,Num_UEs
87525,4,1,1.07519,45,cb,5
87525,2,1,1.07803,49,cb,5
87525,3,1,1.07803,49,cb,5
87534,1,1,1.09434,5,cb,5
87535,1,1,1.0882,11,cb,5
87535,2,1,1.09059,53,cb,5
87535,3,1,1.09059,53,cb,5
87535,2,1,0.98287,54,cb,5
87535,3,1,0.98287,54,cb,5
87539,1,1,1.10083,58,cb,5
87539,2,1,1.10083,58,cb,5
87545,1,1,1.07566,12,cb,5
87545,1,1,1.3175,28,cb,5
87545,1,1,1.07771,29,cb,5
87545,2,1,1.09259,35,cb,5
87545,3,1,1.09259,35,cb,5
87554,1,1,0.71369,41,cb,5
87554,5,1,0.71369,41,cb,5
87554,4,1,0.79299,41,cb,5
87555,1,1,1.07372,2,cb,5
87555,1,1,0.98004,4,cb,5
87555,1,1,1.07664,13,cb,5
87555,2,1,1.08612,31,cb,5
87555,3,1,1.08612,31,cb,5
87555,2,1,1.07442,46,cb,5
87555,3,1,1.07442,46,cb,5
87555,2,1,1.0775,47,cb,5
87555,3,1,1.0775,47,cb,5
87558,1,1,1.07683,57,cb,5
87558,2,1,1.07683,57,cb,5
87565,2,1,1.06982,30,cb,5
87565,3,1,1.06982,30,cb,5
87565,2,1,1.09104,48,cb,5
87565,3,1,1.09104,48,cb,5
87566,3,1,1.0692,55,cb,5
87566,4,1,1.0692,55,cb,5
87566,5,1,1.0692,55,cb,5
87567,1,1,1.09292,56,cb,5
87567,2,1,1.09292,56,cb,5
87568,2,1,1.07419,39,cb,5
87568,3,1,1.07419,39,cb,5
87568,2,1,1.09265,45,cb,5
87568,3,1,0.98339,45,cb,5
87568,2,1,1.07853,51,cb,5
87568,3,1,1.07853,51,cb,5
87570,1,1,1.07817,22,cb,5
87571,1,1,1.42124,44,cb,5
87571,5,1,1.42124,44,cb,5
87571,4,1,1.31191,44,cb,5
87575,1,1,1.07686,8,cb,5
87575,1,1,1.07692,9,cb,5
87575,2,1,1.0777,41,cb,5
87575,3,1,0.95795,41,cb,5
87575,2,1,1.07422,43,cb,5
87575,3,1,1.07422,43,cb,5
87575,2,1,1.09541,50,cb,5
87575,3,1,1.09541,50,cb,5
87575,3,1,1.07507,57,cb,5
87575,4,1,1.07507,57,cb,5
87575,5,1,1.07507,57,cb,5
87576,3,1,0.97703,56,cb,5
87576,4,1,1.08559,56,cb,5
87576,5,1,0.97703,56,cb,5
87577,2,1,1.07764,38,cb,5
87577,3,1,1.07764,38,cb,5
87578,1,1,1.09925,55,cb,5
87578,2,1,1.09925,55,cb,5
87584,1,1,1.09336,26,cb,5
87584,2,1,1.07812,52,cb,5
87584,3,1,0.95833,52,cb,5
87585,1,1,1.07767,1,cb,5
87585,1,1,0.97906,16,cb,5
87585,2,1,1.07694,42,cb,5
87585,3,1,1.07694,42,cb,5
87587,2,1,1.0906,37,cb,5
87587,3,1,1.0906,37,cb,5
87588,2,1,1.0742,36,cb,5
87588,3,1,1.0742,36,cb,5
87595,1,1,1.09042,6,cb,5
87598,2,1,0.98436,32,cb,5
87598,3,1,1.09373,32,cb,5
87605,3,1,1.0937,58,cb,5
87605,4,1,1.0937,58,cb,5
87605,5,1,1.0937,58,cb,5
87608,2,1,1.08728,40,cb,5
87608,3,1,1.08728,40,cb,5
87610,1,1,0.01531,52,cb,5
87610,5,1,0.01914,52,cb,5
87610,4,1,0.01914,52,cb,5
87613,1,1,0.86929,43,cb,5
87613,5,1,0.86929,43,cb,5
87613,4,1,0.86929,43,cb,5
87615,1,1,1.08928,3,cb,5
87615,1,1,0.9579,10,cb,5
87625,1,1,1.09604,17,cb,5
87625,2,1,0.98068,33,cb,5
87625,3,1,0.98068,33,cb,5
87625,2,1,1.09242,34,cb,5
87625,3,1,1.09242,34,cb,5
87625,2,1,0.95502,44,cb,5
87625,3,1,1.0744,44,cb,5
87625,2,1,1.0754,49,cb,5
87625,3,1,1.0754,49,cb,5
87634,1,1,0.95566,5,cb,5
87635,1,1,1.0776,11,cb,5
87635,1,1,1.09091,45,cb,5
87635,5,1,1.09091,45,cb,5
87635,4,1,1.09091,45,cb,5
87636,2,1,1.07341,54,cb,5
87636,3,1,1.07341,54,cb,5
87644,2,1,0.98187,53,cb,5
87644,3,1,1.09096,53,cb,5
87645,1,1,1.0753,28,cb,5
87645,2,1,1.07758,35,cb,5
87645,3,1,1.07758,35,cb,5
87648,1,1,0.98727,58,cb,5
87648,2,1,1.09696,58,cb,5
87655,1,1,1.08685,12,cb,5
87655,2,1,1.07798,46,cb,5
87655,3,1,1.07798,46,cb,5
87655,2,1,1.07683,47,cb,5
87655,3,1,1.07683,47,cb,5
87658,1,1,1.07674,57,cb,5
87658,2,1,1.07674,57,cb,5
87665,1,1,1.08869,2,cb,5
87665,1,1,1.09194,4,cb,5
87665,2,1,1.07772,48,cb,5
87665,3,1,1.07772,48,cb,5
87667,2,1,1.07006,31,cb,5
87667,3,1,1.07006,31,cb,5
87667,1,1,1.07711,56,cb,5
87667,2,1,1.07711,56,cb,5
87672,1,1,0.71506,44,cb,5
87672,5,1,0.71506,44,cb,5
87672,4,1,0.71506,44,cb,5
87674,2,1,1.09796,30,cb,5
87674,3,1,1.09796,30,cb,5
87675,1,1,1.07765,9,cb,5
87675,2,1,1.0761,50,cb,5
87675,3,1,1.0761,50,cb,5
87675,3,1,1.09789,55,cb,5
87675,4,1,1.09789,55,cb,5
87675,5,1,1.09789,55,cb,5
87677,2,1,0.98179,45,cb,5
87677,3,1,1.09087,45,cb,5
87678,2,1,1.07792,38,cb,5
87678,3,1,1.07792,38,cb,5
87678,2,1,1.09232,39,cb,5
87678,3,1,1.09232,39,cb,5
87678,2,1,0.9826,51,cb,5
87678,3,1,1.09178,51,cb,5
87684,1,1,1.07772,26,cb,5
87685,1,1,1.07823,1,cb,5
87685,1,1,1.08916,8,cb,5
87685,1,1,0.76827,29,cb,5
87685,2,1,1.0898,41,cb,5
87685,3,1,1.0898,41,cb,5
87685,2,1,1.07687,42,cb,5
87685,3,1,1.07687,42,cb,5
87685,2,1,1.09517,43,cb,5
87685,3,1,1.09517,43,cb,5
87685,2,1,1.07179,52,cb,5
87685,3,1,1.07179,52,cb,5
87685,3,1,1.0942,56,cb,5
87685,4,1,1.0942,56,cb,5
87685,5,1,1.0942,56,cb,5
87685,3,1,1.09012,57,cb,5
87685,4,1,0.98111,57,cb,5
87685,5,1,1.09012,57,cb,5
87687,2,1,1.07741,37,cb,5
87687,3,1,1.07741,37,cb,5
87687,1,1,1.0931,55,cb,5
87687,2,1,1.0931,55,cb,5
87695,1,1,1.07778,6,cb,5
87695,1,1,0.86782,16,cb,5
87698,2,1,1.07629,32,cb,5
87698,3,1,1.07629,32,cb,5
87698,2,1,1.09023,36,cb,5
87698,3,1,0.9812,36,cb,5
87703,1,1,1.20128,41,cb,5
87703,5,1,1.20128,41,cb,5
87703,4,1,1.1212,41,cb,5
87708,2,1,1.07758,40,cb,5
87708,3,1,1.07758,40,cb,5
87710,1,1,0.85114,22,cb,5
87715,1,1,0.30427,34,cb,5
87715,5,1,0.30427,34,cb,5
87715,4,1,0.30427,34,cb,5
87717,3,1,1.0754,58,cb,5
87717,4,1,1.0754,58,cb,5
87717,5,1,1.0754,58,cb,5
87723,1,1,1.20435,43,cb,5
87723,5,1,1.31383,43,cb,5
87723,4,1,1.20435,43,cb,5
87725,1,1,1.09081,3,cb,5
87725,1,1,1.09127,10,cb,5
87725,1,1,1.07516,17,cb,5
87725,2,1,1.07702,44,cb,5
87725,3,1,1.07702,44,cb,5
87727,2,1,0.9406,34,cb,5
87727,3,1,1.05818,34,cb,5
87735,1,1,1.07544,5,cb,5
87735,2,1,1.08924,33,cb,5
87735,3,1,1.08924,33,cb,5
87735,2,1,1.09302,49,cb,5
87735,3,1,1.09302,49,cb,5
87736,1,1,0.82984,45,cb,5
87736,5,1,0.82984,45,cb,5
87736,4,1,0.82984,45,cb,5
87745,1,1,1.08722,11,cb,5
87745,2,1,1.07646,53,cb,5
87745,3,1,1.07646,53,cb,5
87745,2,1,1.09683,54,cb,5
87745,3,1,1.09683,54,cb,5
87755,1,1,0.98259,28,cb,5
87755,2,1,1.09164,35,cb,5
87755,3,1,0.98247,35,cb,5
87759,1,1,1.06815,57,cb,5
87759,2,1,1.06815,57,cb,5
87759,1,1,1.08032,58,cb,5
87759,2,1,1.08032,58,cb,5
87760,1,1,0.05552,15,cb,5
87765,1,1,1.07572,4,cb,5
