[UE 11 | RBs:  1 ] Total Throughput = 0.21787 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21787 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23953 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23953 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23953 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.11972 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.47887 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35915 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.76274 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32689 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.10896 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23870 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35804 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23870 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23835 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.11917 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23835 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35936 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35936 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35936 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22021 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.44042 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.22021 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35493 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35493 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35493 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.55114 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.55114 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.08641 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35871 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35871 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21815 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35609 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35609 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35835 Mbps
